country_region,country_region_code,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,sub_region_3,sub_region_3_code,place_id
United States,US,Alabama,US-AL,Autauga County,01001,,,ChIJg9z7ewWPjogRA_8QrB0va7o
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36507,ChIJ3akDs6tYmogRFHKwBJj7yg0
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36511,ChIJ70fghJEamogR38KOUdxjpkA
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36526,ChIJISE19I1BmogRlvxutvTk8FA
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36527,ChIJgUiCTXxDmogRT_g3Ndean74
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36530,ChIJAVPExfUJmogRVw0-huyuHIs
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36532,ChIJsbsqDt0_mogR5LnA8wgKX-w
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36535,ChIJAzQ5NbgRmogRVhmfzX7O77w
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36542,ChIJA9UMsWkFmogRCP9K70_kKI8
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36549,ChIJn6o43fyjkIgRBXNjZjnFS8M
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36551,ChIJI8pVugltmogRiI1J4qN-HlQ
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36561,ChIJxw2YESyokIgRlYV-N3RLg2U
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36567,ChIJv2y9uWx2mogRaOlxx3d3CFQ
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36574,ChIJzZZ6qFCfkIgRqAqWXK3wljM
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36576,ChIJh15zZJlsmogRV_MCP6L5L_M
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36578,ChIJX23uVdBlmogR3v25psaBm1s
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36579,ChIJB4bZQe2SmogR-NatYtzwu9U
United States,US,Alabama,US-AL,Baldwin County,,postal_code,36580,ChIJU7iRIAgSmogRhjtLI35L_8k
United States,US,Alabama,US-AL,Baldwin County,01003,,,ChIJMRERvxBnmogR0K_9O08dxDw
United States,US,Alabama,US-AL,Barbour County,01005,,,ChIJtUJfgR1tjYgRAjFO7yq2nuI
United States,US,Alabama,US-AL,Bibb County,01007,,,ChIJEdvIA8szj4gRU_XpIL_1cSw
United States,US,Alabama,US-AL,Blount County,01009,,,ChIJdcUJhYeXiYgRERpotPlZFfs
United States,US,Alabama,US-AL,Bullock County,01011,,,ChIJcXKpowinjYgR2bm-CFekO9E
United States,US,Alabama,US-AL,Butler County,01013,,,ChIJvwuytCw6jogR94Yjx8idafg
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36201,ChIJHwqRNCW0i4gRo5FlxIANtn0
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36203,ChIJ3zK5o9ywi4gRgeJSaUYvvBI
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36205,ChIJi8cNQuiyi4gRMfvcPP4iuFA
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36206,ChIJn_ug29BMiogRcRV4bWJAwRo
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36207,ChIJK9z5Wvasi4gRXnZiHUFCv2U
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36250,ChIJG7JxH45KiogRok5I2u06P4s
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36260,ChIJne9lbxzGi4gRp3p4jxcYvSE
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36265,ChIJV8TvYyxOiogRsAghpJT5cAc
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36271,ChIJ3aeBIHYziogR_orqQoJeEFM
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36272,ChIJR57fb9_3iogRDuRQ3gfL4j0
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36277,ChIJa26tHO5MiogRZQRSijpJNuM
United States,US,Alabama,US-AL,Calhoun County,,postal_code,36279,ChIJRTfKPjZIiogRXkgSQzNPP44
United States,US,Alabama,US-AL,Calhoun County,01015,,,ChIJGyBy4YNNiogRE-jfYYjjehM
United States,US,Alabama,US-AL,Chambers County,01017,,,ChIJ8wq7d0SgjIgR7dF0tFV4YxI
United States,US,Alabama,US-AL,Cherokee County,01019,,,ChIJW8evmPRiiogROnAqHB76oCA
United States,US,Alabama,US-AL,Chilton County,01021,,,ChIJS3kV4bHJjogROXThhEVi6WQ
United States,US,Alabama,US-AL,Choctaw County,01023,,,ChIJudf5RKvhhIgRL_9Xfo0IOS8
United States,US,Alabama,US-AL,Clarke County,01025,,,ChIJQZySLbnLmogRyygQkshn9-Q
United States,US,Alabama,US-AL,Clay County,01027,,,ChIJ7SnMwYOTi4gRQ2Kp7tU2TTU
United States,US,Alabama,US-AL,Cleburne County,01029,,,ChIJMbmDk2T_iogREnEFcAKu3co
United States,US,Alabama,US-AL,Coffee County,01031,,,ChIJY8xZwLgTkogRzT0BJZXvy-A
United States,US,Alabama,US-AL,Colbert County,01033,,,ChIJx9RdR4pDfYgRwXFUhyjJkjI
United States,US,Alabama,US-AL,Conecuh County,01035,,,ChIJ-cexfRYwkIgRKRXsDVi20AM
United States,US,Alabama,US-AL,Coosa County,01037,,,ChIJO38NpV-qjogR_DGYR1a7hfg
United States,US,Alabama,US-AL,Covington County,01039,,,ChIJL6eZvYO9kYgR8JpPeJgyi8I
United States,US,Alabama,US-AL,Crenshaw County,01041,,,ChIJazOdWMQHjogRss6g43wnKB0
United States,US,Alabama,US-AL,Cullman County,01043,,,ChIJ80bNgkhOiIgR2OiZAIYFOOI
United States,US,Alabama,US-AL,Dale County,01045,,,ChIJdZZpSW99kogR5F9J6CBlYd0
United States,US,Alabama,US-AL,Dallas County,01047,,,ChIJ9xTUS0kIj4gR5H8RrvN7U5A
United States,US,Alabama,US-AL,DeKalb County,01049,,,ChIJxy4_RT7ZYYgR6zftJTvIIBU
