country_region,country_region_code,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,sub_region_3,sub_region_3_code,place_id
Canada,CA,Alberta,CA-AB,,,postal_code,T0A,ChIJOUISuAyYplMR8FPDsrnwoJk
Canada,CA,Alberta,CA-AB,,,postal_code,T0B,ChIJL5qHQcxGClMRc074NhVbRh0
Canada,CA,Alberta,CA-AB,,,postal_code,T0C,ChIJfaK732wpC1MRARtQ5325kBU
Canada,CA,Alberta,CA-AB,,,postal_code,T0E,ChIJYxi_NIlpnFMRL2BqNU59jAE
Canada,CA,Alberta,CA-AB,,,postal_code,T0G,ChIJrcMPHwffvFMRyU1SMctaRtg
Canada,CA,Alberta,CA-AB,,,postal_code,T0H,ChIJ93EKPpRzkVMRGZKt3VFeOkc
Canada,CA,Alberta,CA-AB,,,postal_code,T0J,ChIJm8TEl62XclMRHc6r3X5l4wY
Canada,CA,Alberta,CA-AB,,,postal_code,T0K,ChIJsTIIv4klbFMRXyeKMQQCStI
Canada,CA,Alberta,CA-AB,,,postal_code,T0L,ChIJoW-NKnL9cFMRJ2BzepqoYbg
Canada,CA,Alberta,CA-AB,,,postal_code,T0M,ChIJ3W5hrBaPdlMR7D4ZCfa_Nxs
Canada,CA,Alberta,CA-AB,,,postal_code,T0P,ChIJK4qp2T67sFMRN_lfHELJDw8
Canada,CA,Alberta,CA-AB,,,postal_code,T1A,ChIJhdHVo-8sE1MR2Om09N_R7Ds
Canada,CA,Alberta,CA-AB,,,postal_code,T1B,ChIJRR6QZoYtE1MRMMo-fVuSxZs
Canada,CA,Alberta,CA-AB,,,postal_code,T1C,ChIJS6r-3ncsE1MRxm36CbqTcE0
Canada,CA,Alberta,CA-AB,,,postal_code,T1G,ChIJM9l1t_41bFMRxqJYB7DC6P4
Canada,CA,Alberta,CA-AB,,,postal_code,T1H,ChIJj39Q6XmHblMRpM4-ORp2PDU
Canada,CA,Alberta,CA-AB,,,postal_code,T1J,ChIJt4o2uPGIblMR0h3Tcv7Svls
Canada,CA,Alberta,CA-AB,,,postal_code,T1K,ChIJGZYSh02PblMRdCzNcmLXnx4
Canada,CA,Alberta,CA-AB,,,postal_code,T1L,ChIJuUtTWk7KcFMRsAd7OV2ajOQ
Canada,CA,Alberta,CA-AB,,,postal_code,T1M,ChIJtxyTlt6BblMRfI8A5WyQzSY
Canada,CA,Alberta,CA-AB,,,postal_code,T1P,ChIJ-WRhXfrMc1MRnyribFeqJps
Canada,CA,Alberta,CA-AB,,,postal_code,T1R,ChIJz4IR2rJjbVMRNJ4LKig7Gus
Canada,CA,Alberta,CA-AB,,,postal_code,T1S,ChIJV6pX18yZcVMRbowX4FVmUrU
